Taxon_full,Taxon,community,bio1,bio2,bio7,FDD,GDD,Snw
Herniaria glabra,Herniaria glabra,Temperate,3.387619822,2.850521021,23.32258065,50.16666667,786.6130952,84
Hippocrepis comosa,Hippocrepis comosa,Temperate,4.697765735,3.886920018,26.5872434,3.333333333,1133.412879,153.5
Hornungia alpina,Hornungia alpina,Temperate,3.861089997,2.449484783,21.54919087,8.726744186,911.949296,184.6877076
Iberis carnosa,Iberis carnosa,Temperate,3.546173434,2.814515269,23.69796197,83.19248826,880.7501677,116.0140845
Jacobaea boissieri,Jacobaea boissieri,Temperate,5.152174875,4.909020244,27.03225806,69.33333333,1395.928571,88
Jasione cavanillesii,Jasione cavanillesii,Temperate,3.208366983,2.090462888,20.71320565,22.05989583,668.6060268,77.90625
Jurinea humilis,Jurinea humilis,Temperate,5.16884058,3.932824873,24.24718382,26.25347222,1338.289793,90.5
Kobresia myosuroides,Kobresia myosuroides,Temperate,4.515363863,3.538378042,23.32844575,88.37121212,1241.518398,85.81818182
Koeleria vallesiana,Koeleria vallesiana,Temperate,4.617304417,3.30624243,23.99237721,32.48618001,1146.15369,114.8263643
Linaria alpina,Linaria alpina,Temperate,3.866488145,2.672613194,22.18894009,18.16666667,885.2708333,96.5
Lotus corniculatus,Lotus corniculatus,Temperate,4.945091155,3.523142645,23.93286069,13.30512821,1245.097253,103.1230769
Luzula pediformis,Luzula pediformis,Temperate,3.776352413,2.525751667,22.23827486,0.865591398,862.2314708,202.7983871
Minuartia verna,Minuartia verna,Temperate,4.471455206,3.442444867,24.39019156,50.77736928,1114.302883,77.57843137
Oxytropis neglecta,Oxytropis neglecta,Temperate,5.176755616,4.432591944,27.81671554,33.10606061,1249.542208,48.09090909
Paronychia kapela subsp. serpyllifolia,Paronychia kapela,Temperate,5.493782099,4.57653028,27.26459293,16.11111111,1397.037698,118.1666667
Pedicularis pyrenaica,Pedicularis pyrenaica,Temperate,4.585517499,3.724286312,23.76357579,75.09459459,1232.6213,74.05405405
Phyteuma orbiculare,Phyteuma orbiculare,Temperate,5.095699964,3.420903115,23.49346904,12.88631347,1290.375512,97.31788079
Pilosella officinarum,Pilosella officinarum,Temperate,4.735679488,3.870274855,26.07258065,14.39285714,1151.261054,105.1428571
Plantago alpina,Plantago alpina,Temperate,4.177050101,2.90878305,22.85206377,24.46103471,996.8454369,87.75638507
Poa alpina,Poa alpina,Temperate,3.739232822,2.430496527,21.68049155,5.666666667,804.7619048,94
Potentilla crantzii,Potentilla crantzii,Temperate,4.568837572,3.378832072,23.94057125,38.89768977,1130.751061,83.15841584
Ranunculus carinthiacus,Ranunculus carinthiacus,Temperate,4.019023403,2.749607434,22.97690694,33.61318408,941.4863184,65.48507463
Ranunculus parnassiifolius subsp. favargeri,Ranunculus parnassiifolius,Temperate,3.5166194,3.085490726,24.71935484,105.427451,895.5051821,98.37647059
Salix breviserrata,Salix breviserrata,Temperate,3.708179287,3.380394201,26.29493088,169.5873016,1001.556122,38.66666667
Saxifraga conifera,Saxifraga conifera,Temperate,4.301506616,3.253477871,24.41557175,44.33255814,1049.892839,81.34573643
Saxifraga oppositifolia,Saxifraga oppositifolia,Temperate,3.881652566,3.893753112,26.42903226,134.4,1037.807143,77.6
Saxifraga paniculata,Saxifraga paniculata,Temperate,4.229785179,3.198362659,25.06221198,7.666666667,998.9583333,152.5
Scilla verna,Scilla verna,Temperate,4.852873803,3.887542708,26.193702,7.372222222,1194.097222,141.5666667
Sedum album,Sedum album,Temperate,4.188052646,2.777215556,22.84775559,38.74074074,1014.204145,128.8518519
Sedum atratum,Sedum atratum,Temperate,3.773096448,2.817436238,23.26761027,61.4375,911.5826956,81.19642857
Sempervivum vicentei,Sempervivum vicentei,Temperate,4.675528043,3.005516609,21.95863684,33.09408602,1175.108103,93.96774194
Silene acaulis,Silene acaulis,Temperate,3.299062967,2.538264238,22.14572792,51.61478934,761.3895918,93.00085985
Silene ciliata,Silene ciliata,Temperate,3.767430042,2.806506979,24.07306336,58.06191806,890.7481445,134.3463687
Teucrium pyrenaicum,Teucrium pyrenaicum,Temperate,5.109751897,3.413922637,24.62442396,10.66666667,1294.630952,128
Thesium pyrenaicum,Thesium pyrenaicum,Temperate,5.022424708,3.206214216,22.21889401,3.625,1266.791667,78
Thymus praecox subsp. ligusticus,Thymus praecox,Temperate,4.297131207,3.299570126,24.56155972,38.09660523,1039.014729,101.4522684
Veronica nummularia,Veronica nummularia,Temperate,3.445665535,2.644332482,21.83986175,10.98809524,770.0918367,156.6428571
Viola rupestris,Viola rupestris,Temperate,4.190358371,2.896923999,21.88940092,19.11666667,1022.571429,95
